"Timestamp (UTC)","Device - Link Connection Status","Device - Firmware Version","Device - Push Status","Ext Sensor 1 - Temperature (°F)","Ext Sensor 1 - Humidity (%RH)","Ext Sensor 1 - Heat Index (°F)","Ext Sensor 1 - Dew Point (°F)","Ext Sensor 1 - Push Status","Ext Sensor 2 - Temperature (°F)","Ext Sensor 2 - Humidity (%RH)","Ext Sensor 2 - Heat Index (°F)","Ext Sensor 2 - Dew Point (°F)","Ext Sensor 2 - Push Status","Internal Sensor - Temperature (°F)","Internal Sensor - Push Status","Switch Sensor 1 - Switch","Switch Sensor 1 - Push Status","Switch Sensor 1 - Alarm","Switch Sensor 2 - Switch","Switch Sensor 2 - Push Status","Switch Sensor 3 - Switch","Switch Sensor 3 - Push Status","Switch Sensor 4 - Switch","Switch Sensor 4 - Push Status","Ext Sensor 3 - Temperature (°F)","Ext Sensor 3 - Humidity (%RH)","Ext Sensor 3 - Heat Index (°F)","Ext Sensor 3 - Dew Point (°F)","Ext Sensor 3 - Push Status"
"2022-07-25 17:53:46",,1.5.11,Pushing,80.24,42.66,80.15,59.61,Pushing,79.88,42.98,79.88,59.36,Pushing,88.88,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 18:14:07",,1.5.11,Pushing,80.60,47.85,81.45,61.83,Pushing,80.06,43.95,80.22,59.88,Pushing,89.06,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 19:06:32",,1.5.11,Pushing,80.24,43.30,80.15,59.83,Pushing,79.88,43.62,79.88,59.59,Pushing,89.06,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 19:13:32",,1.5.11,Pushing,80.42,49.14,80.65,62.11,Pushing,79.70,43.62,79.70,59.41,Pushing,89.06,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 19:45:06",,1.5.11,Pushing,80.24,46.54,80.47,61.00,Pushing,80.06,44.29,80.22,60.01,Pushing,88.52,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 19:50:18",,1.5.11,Pushing,80.96,51.74,81.91,63.59,Pushing,80.06,43.95,80.22,59.88,Pushing,88.88,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 20:03:05",,1.5.11,Pushing,80.96,56.93,82.54,65.46,Pushing,80.06,44.93,80.31,60.24,Pushing,88.70,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 20:31:45",,1.5.11,Pushing,80.42,51.41,80.83,62.94,Pushing,80.06,44.61,80.31,60.13,Pushing,88.34,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 20:59:24",,1.5.11,Pushing,80.24,56.29,81.32,64.51,Pushing,79.88,43.95,79.88,59.70,Pushing,88.16,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 21:08:12",,1.5.11,Pushing,80.24,51.09,80.83,62.64,Pushing,79.70,44.29,79.70,59.65,Pushing,88.16,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 21:25:06",,1.5.11,Pushing,80.06,56.61,81.41,64.45,Pushing,80.06,43.62,80.22,59.77,Pushing,88.16,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 21:27:58",,1.5.11,Pushing,79.88,51.09,79.88,62.28,Pushing,79.88,43.62,79.88,59.59,Pushing,88.16,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 21:35:21",,1.5.11,Pushing,80.06,56.29,81.32,64.33,Pushing,80.24,43.62,80.22,59.95,Pushing,88.16,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 22:34:17",,1.5.11,Pushing,79.88,58.88,79.88,65.08,Pushing,80.24,44.61,80.31,60.31,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 22:56:33",,1.5.11,Pushing,79.70,54.01,79.70,63.16,Pushing,80.24,44.29,80.22,60.19,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 23:01:00",,1.5.11,Pushing,79.70,59.53,79.70,65.14,Pushing,80.24,43.62,80.22,59.95,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 23:11:41",,1.5.11,Pushing,79.70,54.33,79.70,63.27,Pushing,80.24,43.30,80.15,59.83,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 23:24:18",,1.5.11,Pushing,79.52,49.48,79.52,61.34,Pushing,80.42,42.66,80.15,59.79,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 23:34:20",,1.5.11,Pushing,79.52,55.00,79.52,63.32,Pushing,80.60,42.66,80.91,59.97,Pushing,87.62,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-25 23:54:52",,1.5.11,Pushing,79.52,59.85,79.52,65.07,Pushing,80.42,42.33,80.06,59.67,Pushing,87.80,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 00:08:37",,1.5.11,Pushing,79.70,64.72,79.70,67.01,Pushing,80.60,42.33,80.82,59.85,Pushing,87.62,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 01:07:33",,1.5.11,Pushing,79.34,63.43,79.34,66.18,Pushing,80.42,43.95,80.22,60.24,Pushing,87.62,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 01:13:16",,1.5.11,Pushing,79.34,58.24,79.34,64.31,Pushing,80.24,43.95,80.22,60.06,Pushing,87.44,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 02:04:21",,1.5.11,Pushing,79.16,53.04,79.16,62.26,Pushing,80.42,46.22,80.38,61.07,Pushing,87.44,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 02:24:58",,1.5.11,Pushing,78.98,49.80,78.98,60.91,Pushing,80.42,46.88,80.47,61.30,Pushing,87.26,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 03:23:53",,1.5.11,Pushing,79.16,51.74,79.16,61.79,Pushing,80.42,48.50,80.65,61.88,Pushing,87.62,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 04:22:49",,1.5.11,Pushing,79.16,51.74,79.16,61.79,Pushing,80.42,46.54,80.47,61.18,Pushing,87.26,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 05:21:44",,1.5.11,Pushing,79.16,51.09,79.16,61.56,Pushing,80.24,45.58,80.38,60.66,Pushing,87.26,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 06:20:40",,1.5.11,Pushing,79.16,52.40,79.16,62.02,Pushing,80.06,45.25,80.31,60.35,Pushing,87.08,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 07:19:36",,1.5.11,Pushing,78.80,54.33,78.80,62.37,Pushing,80.06,43.30,80.15,59.65,Pushing,87.26,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 08:18:32",,1.5.11,Pushing,78.62,51.74,78.62,61.25,Pushing,79.88,42.33,79.88,59.13,Pushing,87.08,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 09:17:27",,1.5.11,Pushing,78.26,50.45,78.26,60.42,Pushing,80.06,41.35,79.99,58.95,Pushing,86.90,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 10:16:23",,1.5.11,Pushing,78.26,54.01,78.26,61.72,Pushing,79.88,39.74,79.88,58.19,Pushing,87.08,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 11:15:19",,1.5.11,Pushing,78.08,49.48,78.08,59.90,Pushing,79.52,39.09,79.52,57.60,Pushing,87.08,Pushing,Closed,Pushing,Off,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 12:04:35",,1.5.11,Pushing,78.26,48.50,78.26,59.72,Pushing,79.34,38.43,79.34,57.18,Pushing,86.90,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 13:03:30",,1.5.11,Pushing,78.44,48.50,78.44,59.90,Pushing,78.98,38.11,78.98,56.71,Pushing,87.26,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 14:02:26",,1.5.11,Pushing,78.26,45.90,78.26,58.78,Pushing,78.98,38.11,78.98,56.71,Pushing,87.26,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 14:03:45",,1.5.11,Pushing,78.26,51.09,78.26,60.66,Pushing,78.80,38.11,78.80,56.53,Pushing,87.44,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 14:27:12",,1.5.11,Pushing,78.26,45.90,78.26,58.78,Pushing,78.98,38.77,78.98,56.95,Pushing,87.44,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 15:08:49",,1.5.11,Pushing,78.44,51.09,78.44,60.84,Pushing,78.98,37.14,78.98,56.35,Pushing,88.16,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 15:30:05",,1.5.11,Pushing,78.44,45.58,78.44,58.86,Pushing,78.98,37.14,78.98,56.35,Pushing,88.34,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 15:33:06",,1.5.11,Pushing,78.44,51.09,78.44,60.84,Pushing,78.98,38.43,78.98,56.82,Pushing,88.52,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 15:44:51",,1.5.11,Pushing,78.44,45.58,78.44,58.86,Pushing,79.34,38.43,79.34,57.18,Pushing,88.70,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 16:43:45",,1.5.11,Pushing,78.44,41.35,78.44,57.33,Pushing,79.16,37.14,79.16,56.53,Pushing,88.88,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 16:48:55",,1.5.11,Pushing,78.26,46.54,78.26,59.02,Pushing,79.16,37.14,79.16,56.53,Pushing,89.06,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 16:50:10",,1.5.11,Pushing,78.62,51.74,78.62,61.25,Pushing,79.16,37.46,79.16,56.66,Pushing,88.88,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 16:51:24",,1.5.11,Pushing,78.44,46.22,78.44,59.09,Pushing,78.98,37.46,78.98,56.48,Pushing,88.88,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 16:55:57",,1.5.11,Pushing,78.62,41.35,78.62,57.51,Pushing,78.98,36.82,78.98,56.25,Pushing,89.06,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 17:01:29",,1.5.11,Pushing,78.44,46.88,78.44,59.32,Pushing,78.98,37.14,78.98,56.35,Pushing,89.06,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
"2022-07-26 17:06:18",,1.5.11,Pushing,78.44,41.69,78.44,57.45,Pushing,78.98,36.82,78.98,56.25,Pushing,88.88,Pushing,Open,Pushing,,Open,Pushing,Open,Pushing,Open,Pushing,,,,,
